Exoplanet Name,Discovered Year
HD 68988 b,2001
HD 68988 b,2001
HD 68988 b,2001
HD 80606 b,2001
HD 80606 b,2001
HD 80606 b,2001
HD 80606 b,2001
HD 80606 b,2001
HD 80606 b,2001
HD 80606 b,2001
14 Her b,2002
14 Her b,2002
14 Her b,2002
14 Her b,2002
14 Her b,2002
14 Her b,2002
14 Her b,2002
14 Her b,2002
55 Cnc d,2002
55 Cnc d,2002
55 Cnc d,2002
55 Cnc d,2002
55 Cnc d,2002
55 Cnc d,2002
55 Cnc d,2002
55 Cnc d,2002
55 Cnc d,2002
55 Cnc d,2002
HD 106252 b,2002
HD 106252 b,2002
HD 106252 b,2002
HD 106252 b,2002
HD 106252 b,2002
HD 108147 b,2002
HD 108147 b,2002
HD 108874 b,2002
HD 108874 b,2002
HD 108874 b,2002
HD 108874 b,2002
HD 108874 b,2002
HD 108874 b,2002
HD 108874 b,2002
HD 114729 b,2002
HD 114729 b,2002
HD 114729 b,2002
HD 114729 b,2002
HD 114729 b,2002
HD 12661 c,2002
HD 12661 c,2002
HD 12661 c,2002
HD 12661 c,2002
HD 128311 b,2002
HD 128311 b,2002
HD 128311 b,2002
HD 128311 b,2002
HD 128311 b,2002
HD 128311 b,2002
HD 141937 b,2002
HD 141937 b,2002
HD 141937 b,2002
HD 162020 b,2002
HD 162020 b,2002
HD 168746 b,2002
HD 168746 b,2002
HD 168746 b,2002
HD 168746 b,2002
HD 196050 b,2002
HD 196050 b,2002
HD 196050 b,2002
HD 196050 b,2002
HD 2039 b,2002
HD 2039 b,2002
HD 2039 b,2002
HD 216435 b,2002
HD 216435 b,2002
HD 216437 b,2002
HD 216437 b,2002
HD 216437 b,2002
HD 30177 b,2002
HD 30177 b,2002
HD 30177 b,2002
HD 30177 b,2002
HD 30177 b,2002
HD 30177 b,2002
HD 37124 b,2002
HD 37124 b,2002
HD 37124 b,2002
HD 37124 b,2002
HD 37124 b,2002
HD 37124 c,2002
HD 37124 c,2002
HD 37124 c,2002
HD 37124 c,2002
HD 37124 c,2002
HD 40979 b,2002
HD 40979 b,2002
HD 40979 b,2002
HD 40979 b,2002
HD 47536 b,2002
HD 47536 b,2002
HD 49674 b,2002
HD 49674 b,2002
HD 49674 b,2002
HD 49674 b,2002
HD 49674 b,2002
HD 50554 b,2002
HD 50554 b,2002
HD 50554 b,2002
HD 50554 b,2002
HD 50554 b,2002
HD 72659 b,2002
HD 72659 b,2002
HD 72659 b,2002
HD 72659 b,2002
HD 72659 b,2002
HD 72659 b,2002
HD 72659 b,2002
HD 72659 b,2002
HD 73526 b,2002
HD 73526 b,2002
HD 73526 b,2002
HD 76700 b,2002
HD 76700 b,2002
HD 76700 b,2002
HD 83443 b,2002
HD 83443 b,2002
HD 83443 b,2002
HD 83443 b,2002
HD 83443 b,2002
HD 83443 b,2002
HD 83443 b,2002
HD 8574 b,2002
HD 8574 b,2002
HD 8574 b,2002
HD 8574 b,2002
OGLE-TR-56 b,2002
OGLE-TR-56 b,2002
OGLE-TR-56 b,2002
OGLE-TR-56 b,2002
OGLE-TR-56 b,2002
OGLE-TR-56 b,2002
OGLE-TR-56 b,2002
OGLE-TR-56 b,2002
OGLE-TR-56 b,2002
OGLE-TR-56 b,2002
iot Dra b,2002
iot Dra b,2002
iot Dra b,2002
iot Dra b,2002
HD 104985 b,2003
HD 104985 b,2003
HD 111232 b,2003
HD 111232 b,2003
HD 111232 b,2003
HD 111232 b,2003
HD 114386 b,2003
HD 114386 b,2003
HD 121504 b,2003
HD 121504 b,2003
HD 142415 b,2003
HD 142415 b,2003
HD 147513 b,2003
HD 169830 c,2003
HD 169830 c,2003
HD 169830 c,2003
HD 169830 c,2003
HD 190360 b,2003
HD 190360 b,2003
HD 190360 b,2003
HD 190360 b,2003
HD 190360 b,2003
HD 190360 b,2003
HD 190360 b,2003
HD 190360 b,2003
HD 19994 b,2003
HD 19994 b,2003
HD 216770 b,2003
HD 216770 b,2003
HD 23596 b,2003
HD 23596 b,2003
HD 23596 b,2003
HD 23596 b,2003
HD 3651 b,2003
HD 3651 b,2003
HD 3651 b,2003
HD 3651 b,2003
HD 3651 b,2003
HD 41004 B b,2003
HD 41004 B b,2003
HD 6434 b,2003
HD 6434 b,2003
HD 6434 b,2003
HD 65216 b,2003
HD 65216 b,2003
HD 65216 b,2003
HD 65216 b,2003
HD 70642 b,2003
HD 70642 b,2003
HD 70642 b,2003
HD 70642 b,2003
HD 74156 b,2003
HD 74156 b,2003
HD 74156 b,2003
HD 74156 b,2003
HD 74156 b,2003
HD 74156 b,2003
HD 74156 c,2003
HD 74156 c,2003
HD 74156 c,2003
HD 74156 c,2003
HD 74156 c,2003
HD 74156 c,2003
HD 74156 c,2003
HD 82943 b,2003
HD 82943 b,2003
HD 82943 b,2003
HD 82943 b,2003
HD 82943 b,2003
HD 82943 c,2003
HD 82943 c,2003
HD 82943 c,2003
HD 82943 c,2003
HD 82943 c,2003
PSR B1620-26 b,2003
gam Cep b,2003
gam Cep b,2003
gam Cep b,2003
2MASS J12073346-3932539 b,2004
2MASS J12073346-3932539 b,2004
55 Cnc c,2004
55 Cnc c,2004
55 Cnc c,2004
55 Cnc c,2004
55 Cnc c,2004
55 Cnc c,2004
55 Cnc c,2004
55 Cnc c,2004
55 Cnc e,2004
55 Cnc e,2004
55 Cnc e,2004
55 Cnc e,2004
55 Cnc e,2004
55 Cnc e,2004
55 Cnc e,2004
55 Cnc e,2004
55 Cnc e,2004
55 Cnc e,2004
55 Cnc e,2004
55 Cnc e,2004
55 Cnc e,2004
55 Cnc e,2004
55 Cnc e,2004
DH Tau b,2004
DH Tau b,2004
GJ 436 b,2004
GJ 436 b,2004
GJ 436 b,2004
GJ 436 b,2004
GJ 436 b,2004
GJ 436 b,2004
GJ 436 b,2004
GJ 436 b,2004
GJ 436 b,2004
GJ 436 b,2004
GJ 436 b,2004
GJ 436 b,2004
GJ 436 b,2004
GJ 436 b,2004
GJ 436 b,2004
GJ 436 b,2004
GJ 436 b,2004
GJ 436 b,2004
GJ 436 b,2004
GJ 436 b,2004
GJ 436 b,2004
GQ Lup b,2004
GQ Lup b,2004
HD 117207 b,2004
HD 117207 b,2004
HD 117207 b,2004
HD 117207 b,2004
HD 117207 b,2004
HD 117207 b,2004
HD 117618 b,2004
HD 117618 b,2004
HD 117618 b,2004
HD 117618 b,2004
HD 154857 b,2004
HD 154857 b,2004
HD 154857 b,2004
HD 160691 c,2004
HD 160691 c,2004
HD 160691 c,2004
HD 160691 c,2004
HD 160691 d,2004
HD 160691 d,2004
HD 160691 d,2004
HD 160691 d,2004
HD 183263 b,2004
HD 183263 b,2004
HD 183263 b,2004
HD 183263 b,2004
HD 183263 b,2004
HD 183263 b,2004
HD 183263 b,2004
HD 188015 b,2004
HD 188015 b,2004
HD 188015 b,2004
HD 202206 c,2004
HD 202206 c,2004
HD 202206 c,2004
HD 208487 b,2004
HD 208487 b,2004
HD 208487 b,2004
HD 330075 b,2004
HD 330075 b,2004
HD 37605 b,2004
HD 37605 b,2004
HD 37605 b,2004
HD 37605 b,2004
HD 37605 b,2004
HD 37605 b,2004
HD 41004 A b,2004
HD 45350 b,2004
HD 45350 b,2004
HD 45350 b,2004
HD 45350 b,2004
HD 88133 b,2004
HD 88133 b,2004
HD 88133 b,2004
HD 88133 b,2004
HD 88133 b,2004
HD 88133 b,2004
HD 99492 b,2004
HD 99492 b,2004
HD 99492 b,2004
HD 99492 b,2004
HD 99492 b,2004
HD 99492 b,2004
OGLE-2003-BLG-235L b,2004
OGLE-2003-BLG-235L b,2004
OGLE-TR-10 b,2004
OGLE-TR-10 b,2004
OGLE-TR-10 b,2004
OGLE-TR-10 b,2004
OGLE-TR-10 b,2004
OGLE-TR-10 b,2004
OGLE-TR-10 b,2004
OGLE-TR-10 b,2004
OGLE-TR-111 b,2004
OGLE-TR-111 b,2004
OGLE-TR-111 b,2004
OGLE-TR-111 b,2004
